taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Ecosystem Subtype	Culture Type	Depth In Meters	Proportal Clade	Proportal Ecotype	Genome Size   * assembled	Gene Count   * assembled	
2716884802	Bacteria	Draft	bioGEOTRACES-SingleCells	Prochlorococcus sp. AG-469-F15	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884802	Pelagic			HLI	High light adapted (HL)	642928	815	
2818991503	Bacteria	Permanent Draft	Picocyanobacteria from Anoxic Marine Zones of the Pacific Ocean	Prochlorococcus sp. SCGC AG-937-N14	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2818991503	Oceanic		100			630178	597	
2716884488	Bacteria	Draft	SCOPE-GRADIENT-SingleCells	Prochlorococcus sp. AG-673-L20	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884488	Pelagic			HLI	High light adapted (HL)	1421661	1729	
2716884361	Bacteria	Draft	HOT-BATS-SingleCells	Prochlorococcus sp. AG-347-M08	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884361	Pelagic			HLII	High light adapted (HL)	1476354	1783	
2651870164	Bacteria	Draft	Water column microbial communities from Red Sea, Saudi Arabia	Prochlorococcus sp. REDSEA-S23_B1	King Abdullah University of Science and Technology	2651870164						1058971	1381	
2626541514	Bacteria	Permanent Draft	Microbial Oceanography of picocyanobacteria in the Oxygen Minimum Zones of the Eastern Pacific Ocean	Prochlorococcus sp. SCGC AC-669 J5 (contamination screened)	Canada's Michael Smith Genome Sciences Centre	2626541514	Unclassified		53			1359317	1796	
2910035859	Bacteria	Finished	Mechanisms for the adaptation of two novel euryhaline phycoerythrobilin-containing Synechococcus to estuarine environments	Synechococcus sp. LTW-R	Chinese Academy of Sciences, South China Sea Institute of Oceanology	2910035859	Unclassified	Isolate				2415533	2721	
2667527310	Bacteria	Draft	HOT-BATS-SingleCells	Prochlorococcus sp. AG-363-N16 (Screened)	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2667527310	Pelagic			LLII/III	Low light adapted (LL)	1398838	1585	
2667527303	Bacteria	Draft	HOT-BATS-SingleCells	Prochlorococcus sp. AG-355-N02 (Screened)	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2667527303	Pelagic			HLII	High light adapted (HL)	1484681	1793	
2878079704	Bacteria	Permanent Draft	Prochlorococcus sp. P1361, P1363, P1344, whole genome shotgun sequencing project	Prochlorococcus sp. P1363	Massachusetts Institute of Technology	2878079704	Oceanic	Isolate	150			2558254	2888	
2667527334	Bacteria	Draft	HOT-BATS-SingleCells	Prochlorococcus sp. AG-347-I19 (Screened)	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2667527334	Pelagic			HLII	High light adapted (HL)	1463307	1732	
2893992827	Bacteria	Permanent Draft	12 new marine Synechococcus isolate genome assemblies	Synechococcus sp. UW105	University of Southern California	2893992827	Oceanic	Isolate				2659417	3048	
2893983025	Bacteria	Permanent Draft	Charting the complexity of the marine microbiome through single cell genomics	Synechococcus sp. AG-919-I18	Woods Hole Oceanographic Institution	2893983025	Pelagic					964025	1101	
2606217318	Bacteria	Permanent Draft	Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus	Prochlorococcus marinus MIT9123	Massachusetts Institute of Technology	2606217318	Epipelagic	Isolate	25	HLII	High light adapted (HL)	1697748	1980	
2716884780	Bacteria	Draft	bioGEOTRACES-SingleCells	Prochlorococcus sp. AG-432-K16	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884780	Pelagic			HLII	High light adapted (HL)	683382	812	
2716884458	Bacteria	Draft	bioGEOTRACES-SingleCells	Prochlorococcus sp. AG-459-O09	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884458	Pelagic			HLII	High light adapted (HL)	1228265	1473	
2716884397	Bacteria	Draft	bioGEOTRACES-SingleCells	Prochlorococcus sp. AG-409-P01	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884397	Pelagic			Not Assigned	Low light adapted (LL)	1783663	1935	
2716884715	Bacteria	Draft	BiGRAPA-SouthPacific-SingleCells	Prochlorococcus sp. AG-335-D02	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884715	Pelagic			HLI	High light adapted (HL)	674981	843	
2667527366	Bacteria	Draft	HOT-BATS-SingleCells	Prochlorococcus sp. AG-363-C20 (Screened)	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2667527366	Pelagic			Not Assigned	Low light adapted (LL)	1750072	1916	
2651870081	Bacteria	Permanent Draft	Marine microbial communities from the northern Gulf of Mexico hypoxic zone	unclassified Synechococcus Bin 28-1	Argonne National Laboratory	2651870081						1320301	1624	
2716884632	Bacteria	Draft	BiGRAPA-SouthPacific-SingleCells	Prochlorococcus sp. AG-311-K14	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884632	Pelagic			LLI	Low light adapted (LL)	194320	243	
2716884392	Bacteria	Draft	bioGEOTRACES-SingleCells	Prochlorococcus sp. AG-409-D06	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884392	Pelagic			LLII/III	Low light adapted (LL)	532342	589	
2651869831	Bacteria	Permanent Draft	Sequencing of marine cyanobacteria Prochlorococcus single-cell genomes from the Bermuda Atlantic Time Series (BATS) station site	Prochlorococcus sp. scB245a_521K15 (unscreened)	Massachusetts Institute of Technology	2651869831	Unclassified		60			1379477	1685	
2551306661	Bacteria	Permanent Draft	Prochlorococcus sp. W2-W12 Sequencing	Prochlorococcus sp. W7	Massachusetts Institute of Technology	2551306661	Unclassified	Isolate				905221	1135	
2716884475	Bacteria	Draft	SCOPE-GRADIENT-SingleCells	Prochlorococcus sp. AG-670-K23	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884475	Pelagic			HLI	High light adapted (HL)	408127	545	
2716884673	Bacteria	Draft	SCOPE-GRADIENT-SingleCells	Uncultured Synechococcus sp. AG-683-B03	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884673	Pelagic			5.1A-IV		1109525	1368	
2716884724	Bacteria	Draft	BiGRAPA-SouthPacific-SingleCells	Prochlorococcus sp. AG-341-E15	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884724	Pelagic			LLI	Low light adapted (LL)	670841	857	
2615840560	Bacteria	Permanent Draft	Microbial Oceanography of picocyanobacteria in the Oxygen Minimum Zones of the Eastern Pacific Ocean	Prochlorococcus sp. SCGC AC-669 K16 (contamination screened)	Canada's Michael Smith Genome Sciences Centre	2615840560	Unclassified		53			2443804	4161	
640427149	Bacteria	Finished	Prochlorococcus sp. WH 7803	Synechococcus sp. WH7803	CEA Genoscope, Institut Pasteur, Roscoff Center for Oceanography	640427149	Epipelagic	Isolate	25	5.1B-V		2366980	2591	
2667527373	Bacteria	Draft	HOT-BATS-SingleCells	Prochlorococcus sp. AG-363-L17 (Screened)	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2667527373	Pelagic			HLVI	High light adapted (HL)	1043499	1167	
640069323	Bacteria	Finished	Prochlorococcus marinus sequencing - JCVI	Prochlorococcus marinus MIT9303	J. Craig Venter Institute	640069323	Epipelagic	Isolate	100	LLIV	Low light adapted (LL)	2682675	3133	
2818991547	Bacteria	Permanent Draft	Picocyanobacteria from Anoxic Marine Zones of the Pacific Ocean	Prochlorococcus sp. SCGC AG-937-F06	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2818991547	Oceanic		100			911784	1009	
2667527354	Bacteria	Draft	HOT-BATS-SingleCells	Prochlorococcus sp. AG-363-A03 (Screened)	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2667527354	Pelagic			LLI	Low light adapted (LL)	1373588	1679	
2681812923	Bacteria	Finished	ProPortal-Culture-Genomes	Prochlorococcus sp. MIT1303	Massachusetts Institute of Technology	2681812923	Epipelagic	Isolate	150	LLIV	Low light adapted (LL)	2554803	2705	
2716884760	Bacteria	Draft	bioGEOTRACES-SingleCells	Prochlorococcus sp. AG-412-J13	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884760	Pelagic			HLII	High light adapted (HL)	1828325	2084	
2667527270	Bacteria	Draft	HOT-BATS-SingleCells	Prochlorococcus sp. AG-402-L20 (Screened)	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2667527270	Pelagic			LLI	Low light adapted (LL)	1757045	2095	
2716884698	Bacteria	Draft	BiGRAPA-SouthPacific-SingleCells	Prochlorococcus sp. AG-316-L16	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884698	Pelagic			Not Assigned	Low light adapted (LL)	793360	804	
2606217682	Bacteria	Permanent Draft	Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus	Prochlorococcus sp. MIT0703	Massachusetts Institute of Technology	2606217682	Epipelagic	Isolate	110	LLIV	Low light adapted (LL)	2575057	2694	
2716884354	Bacteria	Draft	BiGRAPA-SouthPacific-SingleCells	Uncultured Prochlorococcus sp. AG-345-P13	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884354	Pelagic			LLI	Low light adapted (LL)	80654	109	
2716884426	Bacteria	Draft	bioGEOTRACES-SingleCells	Prochlorococcus sp. AG-432-B15	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884426	Pelagic			LLI	Low light adapted (LL)	1004026	1259	
2716884720	Bacteria	Draft	BiGRAPA-SouthPacific-SingleCells	Prochlorococcus sp. AG-335-J19	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884720	Pelagic			HLI	High light adapted (HL)	821743	971	
2739367794	Bacteria	Permanent Draft	Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA	Prochlorococcus sp. JGI 02_M7 (contamination screened)	DOE Joint Genome Institute (JGI)	2739367794	Oceanic		125			754061	896	
2716884642	Bacteria	Draft	BiGRAPA-SouthPacific-SingleCells	Prochlorococcus sp. AG-316-A05	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884642	Pelagic			Not Assigned		220822	229	
2724679671	Bacteria	Permanent Draft	Picocyanobacteria from Anoxic Marine Zones of the Pacific Ocean	Prochlorococcus sp. SCGC AD-598-F05	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2724679671	Oceanic		100			525619	624	
2716884277	Bacteria	Draft	SCOPE-GRADIENT-SingleCells	Prochlorococcus sp. AG-683-O20	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884277	Pelagic			HLI	High light adapted (HL)	416977	499	
2818991506	Bacteria	Permanent Draft	Picocyanobacteria from Anoxic Marine Zones of the Pacific Ocean	Prochlorococcus sp. SCGC AG-937-N07	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2818991506	Oceanic		100			1382933	1419	
2818991493	Bacteria	Permanent Draft	Picocyanobacteria from Anoxic Marine Zones of the Pacific Ocean	Prochlorococcus sp. SCGC AG-937-O13	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2818991493	Oceanic		100			1213875	1285	
2716884276	Bacteria	Draft	SCOPE-GRADIENT-SingleCells	Prochlorococcus sp. AG-683-O15	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884276	Pelagic			HLI	High light adapted (HL)	1063781	1300	
2681813567	Bacteria	Finished	ProPortal-Culture-Genomes	Prochlorococcus sp. MIT1214	Massachusetts Institute of Technology, University of Massachusetts Medical School (UMMS)	2681813567	Epipelagic	Isolate	175	LLI	Low light adapted (LL)	1934849	2206	
2626541534	Bacteria	Permanent Draft	Microbial Oceanography of picocyanobacteria in the Oxygen Minimum Zones of the Eastern Pacific Ocean	Prochlorococcus sp. SCGC AC-669 O17 (contamination screened)	Canada's Michael Smith Genome Sciences Centre	2626541534	Unclassified		53			1202301	1947	
2654587783	Bacteria	Permanent Draft	Sequencing of marine cyanobacteria Prochlorococcus single-cell genomes from the Bermuda Atlantic Time Series (BATS) station site	Prochlorococcus sp. scB245a_519E23 (unscreened)	Massachusetts Institute of Technology	2654587783	Unclassified		60			1079589	1310	
2667527282	Bacteria	Draft	HOT-BATS-SingleCells	Prochlorococcus sp. AG-402-P18 (Screened)	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2667527282	Pelagic			LLI	Low light adapted (LL)	1848560	2104	
2507262013	Bacteria	Finished	Genome sequencing of marine Synechococcus sp.	Synechococcus sp. KORDI-100	Korea Institute of Ocean Science and Technology (KIOST)	2507262013	Oceanic	Isolate	0	5.1-UC-A		2789000	3058	
2626541510	Bacteria	Permanent Draft	Microbial Oceanography of picocyanobacteria in the Oxygen Minimum Zones of the Eastern Pacific Ocean	Prochlorococcus sp. SCGC AC-669 J17 (contamination screened)	Canada's Michael Smith Genome Sciences Centre	2626541510	Unclassified		53			1027724	1446	
2818991553	Bacteria	Permanent Draft	Picocyanobacteria from Anoxic Marine Zones of the Pacific Ocean	Prochlorococcus sp. SCGC AG-937-D23	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2818991553	Oceanic		100			926146	944	
2626541533	Bacteria	Permanent Draft	Microbial Oceanography of picocyanobacteria in the Oxygen Minimum Zones of the Eastern Pacific Ocean	Prochlorococcus sp. SCGC AC-669 O14 (contamination screened)	Canada's Michael Smith Genome Sciences Centre	2626541533	Unclassified		53			1338060	2192	
2818991520	Bacteria	Permanent Draft	Picocyanobacteria from Anoxic Marine Zones of the Pacific Ocean	Prochlorococcus sp. SCGC AG-937-K11	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2818991520	Oceanic		100			1087940	1100	
2645727771	Bacteria	Permanent Draft	Sequencing of marine cyanobacteria Prochlorococcus single-cell genomes from the Bermuda Atlantic Time Series (BATS) station site	Prochlorococcus sp. scB245a_521N3 (unscreened)	Massachusetts Institute of Technology	2645727771	Unclassified		60			479848	597	
2667527332	Bacteria	Draft	HOT-BATS-SingleCells	Prochlorococcus sp. AG-347-I06 (Screened)	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2667527332	Pelagic			HLII	High light adapted (HL)	1524652	1808	
2716884776	Bacteria	Draft	bioGEOTRACES-SingleCells	Prochlorococcus sp. AG-424-P16	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884776	Pelagic			HLII	High light adapted (HL)	1237428	1554	
2716884447	Bacteria	Draft	bioGEOTRACES-SingleCells	Prochlorococcus sp. AG-442-N17	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884447	Pelagic			HLI	High light adapted (HL)	1180721	1372	
2648501714	Bacteria	Permanent Draft	Sequencing of marine cyanobacteria Prochlorococcus single-cell genomes from the Bermuda Atlantic Time Series (BATS) station site	Prochlorococcus sp. scB245a_520B18 (unscreened)	Massachusetts Institute of Technology	2648501714	Unclassified		60			1270661	1543	
2667527319	Bacteria	Draft	HOT-BATS-SingleCells	Prochlorococcus sp. AG-363-P15 (Screened)	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2667527319	Pelagic			Not Assigned	Low light adapted (LL)	1114947	1214	
2838749893	Bacteria	Finished	ProPortal-Culture-Genomes	Prochlorococcus sp. MIT1306	Massachusetts Institute of Technology	2838749893	Epipelagic	Isolate	150	LLIV	Low light adapted (LL)	2498944	2699	
2716884440	Bacteria	Draft	bioGEOTRACES-SingleCells	Prochlorococcus sp. AG-436-O09	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884440	Pelagic			LLII/III	Low light adapted (LL)	1191806	1414	
2818991570	Bacteria	Permanent Draft	Picocyanobacteria from Anoxic Marine Zones of the Pacific Ocean	Prochlorococcus sp. SCGC AG-937-A22	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2818991570	Oceanic		100			1052010	1133	
2716884747	Bacteria	Draft	bioGEOTRACES-SingleCells	Prochlorococcus sp. AG-409-J11	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884747	Pelagic			Not Assigned	Low light adapted (LL)	628943	692	
2893989208	Bacteria	Permanent Draft	Charting the complexity of the marine microbiome through single cell genomics	Synechococcus sp. AG-912-O23	Woods Hole Oceanographic Institution	2893989208	Pelagic					476846	569	
2716884383	Bacteria	Draft	HOT-BATS-SingleCells	Prochlorococcus sp. AG-402-N08	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884383	Pelagic			HLII	High light adapted (HL)	1614457	1888	
2667527297	Bacteria	Draft	HOT-BATS-SingleCells	Prochlorococcus sp. AG-355-L02 (Screened)	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2667527297	Pelagic			HLII	High light adapted (HL)	1432877	1735	
2654587612	Bacteria	Permanent Draft	Sequencing of marine cyanobacteria Prochlorococcus single-cell genomes from the Bermuda Atlantic Time Series (BATS) station site	Prochlorococcus sp. scB245a_521M10 (unscreened)	Massachusetts Institute of Technology	2654587612	Unclassified		60			1064639	1326	
2716884737	Bacteria	Draft	bioGEOTRACES-SingleCells	Prochlorococcus sp. AG-409-B09	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884737	Pelagic			Not Assigned	Low light adapted (LL)	438708	493	
2846840728	Bacteria	Finished	ProPortal-Culture-Genomes	Prochlorococcus marinus MIT1342	Massachusetts Institute of Technology	2846840728	Epipelagic	Isolate	150	LLIV	Low light adapted (LL)	2548000	2840	
2645727953	Bacteria	Permanent Draft	Sequencing of marine cyanobacteria Prochlorococcus single-cell genomes from the Bermuda Atlantic Time Series (BATS) station site	Prochlorococcus sp. scB245a_519B7 (unscreened)	Massachusetts Institute of Technology	2645727953	Unclassified		60			670043	782	
2716884449	Bacteria	Draft	bioGEOTRACES-SingleCells	Prochlorococcus sp. AG-449-O05	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884449	Pelagic			HLII	High light adapted (HL)	1028885	1288	
2716884400	Bacteria	Draft	bioGEOTRACES-SingleCells	Prochlorococcus sp. AG-412-A14	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884400	Pelagic			HLII	High light adapted (HL)	1390573	1651	
2724679665	Bacteria	Permanent Draft	Picocyanobacteria from Anoxic Marine Zones of the Pacific Ocean	Prochlorococcus sp. SCGC AD-598-D04	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2724679665	Oceanic		100			250459	268	
2627853608	Bacteria	Permanent Draft	Synechococcus sp. RS9917	Synechococcus sp. RS9917	J. Craig Venter Institute (JCVI)	2627853608	Marginal Sea	Isolate	10	5.1B-VIII		2579542	2766	
2893987036	Bacteria	Permanent Draft	Charting the complexity of the marine microbiome through single cell genomics	Synechococcus sp. AG-898-C20	Woods Hole Oceanographic Institution	2893987036	Pelagic					320662	462	
2818991519	Bacteria	Permanent Draft	Picocyanobacteria from Anoxic Marine Zones of the Pacific Ocean	Prochlorococcus sp. SCGC AG-937-K16	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2818991519	Oceanic		100			1769820	1811	
2716884438	Bacteria	Draft	bioGEOTRACES-SingleCells	Prochlorococcus sp. AG-436-M02	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884438	Pelagic			LLII/III	Low light adapted (LL)	1501005	1718	
2818991571	Bacteria	Permanent Draft	Picocyanobacteria from Anoxic Marine Zones of the Pacific Ocean	Prochlorococcus sp. SCGC AG-937-A21	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2818991571	Oceanic		100			947998	1027	
2716884809	Bacteria	Draft	SCOPE-GRADIENT-SingleCells	Prochlorococcus sp. AG-679-N20	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884809	Pelagic			HLI	High light adapted (HL)	1313915	1596	
2716884480	Bacteria	Draft	SCOPE-GRADIENT-SingleCells	Prochlorococcus sp. AG-670-N10	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884480	Pelagic			HLI	High light adapted (HL)	1447806	1708	
2893984127	Bacteria	Permanent Draft	12 new marine Synechococcus isolate genome assemblies	Synechococcus sp. UW106	University of Southern California	2893984127	Oceanic	Isolate				2479535	2908	
2716884623	Bacteria	Draft	SCOPE-GRADIENT-SingleCells	Uncultured Synechococcus sp. AG-679-B21	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884623	Pelagic			CDR2		1025533	1237	
2615840556	Bacteria	Permanent Draft	Microbial Oceanography of picocyanobacteria in the Oxygen Minimum Zones of the Eastern Pacific Ocean	Prochlorococcus sp. SCGC AC-669 J8 (contamination screened)	Canada's Michael Smith Genome Sciences Centre	2615840556	Unclassified		53			764635	1006	
641228501	Bacteria	Finished	Prochlorococcus marinus sequencing - JCVI	Prochlorococcus marinus MIT9211	J. Craig Venter Institute	641228501	Epipelagic	Isolate	83	LLII/III	Low light adapted (LL)	1688963	1901	
2681812928	Bacteria	Finished	ProPortal-Culture-Genomes	Prochlorococcus marinus MIT1320	Massachusetts Institute of Technology	2681812928	Epipelagic	Isolate	150	LLIV	Low light adapted (LL)	2496044	2661	
637000213	Bacteria	Finished	Prochlorococcus marinus marinus CCMP1375	Prochlorococcus marinus marinus CCMP1375	CEA Genoscope	637000213	Epipelagic	Isolate	120	LLII/III	Low light adapted (LL)	1751080	1933	
2667527344	Bacteria	Draft	HOT-BATS-SingleCells	Prochlorococcus sp. AG-402-K21 (Screened)	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2667527344	Pelagic			HLII	High light adapted (HL)	1635769	1940	
2667527262	Bacteria	Draft	HOT-BATS-SingleCells	Prochlorococcus sp. AG-402-I22 (Screened)	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2667527262	Pelagic			LLI	Low light adapted (LL)	1264917	1379	
2716884758	Bacteria	Draft	bioGEOTRACES-SingleCells	Prochlorococcus sp. AG-412-I05	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884758	Pelagic			LLIV	Low light adapted (LL)	2134671	2348	
2716884613	Bacteria	Draft	SCOPE-GRADIENT-SingleCells	Uncultured Synechococcus sp. AG-670-F22	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884613	Pelagic			5.1B-VII		1971543	2351	
2887144012	Bacteria	Permanent Draft	Charting the complexity of the marine microbiome through single cell genomics	Synechococcus sp. AG-426-B22	Woods Hole Oceanographic Institution	2887144012	Pelagic					201704	270	
2667527375	Bacteria	Draft	HOT-BATS-SingleCells	Prochlorococcus sp. AG-363-M17 (Screened)	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2667527375	Pelagic			Not Assigned	Low light adapted (LL)	1406914	1564	
2724679681	Bacteria	Permanent Draft	Picocyanobacteria from Anoxic Marine Zones of the Pacific Ocean	Prochlorococcus sp. SCGC AD-598-P19	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2724679681	Oceanic		100			367900	436	
2716884618	Bacteria	Draft	SCOPE-GRADIENT-SingleCells	Uncultured Synechococcus sp. AG-673-F03	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884618	Pelagic			5.1B-VII		2004490	2332	
2716884376	Bacteria	Draft	HOT-BATS-SingleCells	Prochlorococcus sp. AG-402-B10	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884376	Pelagic			LLI	Low light adapted (LL)	1097025	1327	
2626541529	Bacteria	Permanent Draft	Microbial Oceanography of picocyanobacteria in the Oxygen Minimum Zones of the Eastern Pacific Ocean	Prochlorococcus sp. SCGC AC-669 N22 (contamination screened)	Canada's Michael Smith Genome Sciences Centre	2626541529	Unclassified		53			1531124	2569	
2716884431	Bacteria	Draft	bioGEOTRACES-SingleCells	Prochlorococcus sp. AG-436-B23	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884431	Pelagic			HLVI	High light adapted (HL)	716213	850	
2667527368	Bacteria	Draft	HOT-BATS-SingleCells	Prochlorococcus sp. AG-363-G23 (Screened)	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2667527368	Pelagic			LLII/III	Low light adapted (LL)	646218	774	
2716884275	Bacteria	Draft	SCOPE-GRADIENT-SingleCells	Prochlorococcus sp. AG-683-N17	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884275	Pelagic			HLI	High light adapted (HL)	581479	748	
637000210	Bacteria	Finished	Prochlorococcus marinus MIT9312	Prochlorococcus marinus MIT9312	DOE Joint Genome Institute (JGI)	637000210	Epipelagic	Isolate	135	HLII	High light adapted (HL)	1709204	1860	
2716884435	Bacteria	Draft	bioGEOTRACES-SingleCells	Prochlorococcus sp. AG-436-D07	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884435	Pelagic			Not Assigned	Low light adapted (LL)	387567	449	
2667527251	Bacteria	Draft	HOT-BATS-SingleCells	Prochlorococcus sp. AG-347-M18 (Screened)	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2667527251	Pelagic			HLII	High light adapted (HL)	1369540	1619	
2667527255	Bacteria	Draft	HOT-BATS-SingleCells	Prochlorococcus sp. AG-347-O22 (Screened)	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2667527255	Pelagic			HLII	High light adapted (HL)	1405589	1663	
637000314	Bacteria	Finished	Synechococcus sp. WH8102	Synechococcus sp. WH8102	DOE Joint Genome Institute (JGI)	637000314	Pelagic	Isolate		5.1A-III		2434428	2588	
2887143826	Bacteria	Permanent Draft	Charting the complexity of the marine microbiome through single cell genomics	Synechococcus sp. AG-914-O22	Woods Hole Oceanographic Institution	2887143826	Pelagic					152457	185	
2626541532	Bacteria	Permanent Draft	Microbial Oceanography of picocyanobacteria in the Oxygen Minimum Zones of the Eastern Pacific Ocean	Prochlorococcus sp. SCGC AC-669 O11 (contamination screened)	Canada's Michael Smith Genome Sciences Centre	2626541532	Unclassified		53			1671148	2032	
